order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
2,1,227,1,163,stimuli/animals/redpalmweevil.jpg,Invertebrates,1,1
2,1,228,1,53,stimuli/animals/baldeagle.jpg,Birds,1,2
2,1,229,1,103,stimuli/animals/prayingmantis.jpg,Invertebrates,1,1
2,1,230,2,315,stimuli/tools/generator.jpg,Devices,1,2
2,1,231,1,130,stimuli/animals/grasshopper.jpg,Invertebrates,2,3
2,1,232,1,128,stimuli/animals/cod.jpg,SeaDwellers,2,3
2,1,233,1,52,stimuli/animals/otter.jpg,Mammals,1,1
2,1,234,2,257,stimuli/tools/hairbrush.jpg,Household,2,3
2,1,235,1,55,stimuli/animals/crow.jpg,Birds,1,1
2,1,236,2,246,stimuli/tools/plunger.jpg,Household,2,3
2,1,237,2,234,stimuli/tools/whisk.jpg,Household,1,2
2,1,238,1,43,stimuli/animals/flamingo.jpg,Birds,1,2
2,1,239,1,144,stimuli/animals/skunk.jpg,Mammals,2,3
2,1,240,2,306,stimuli/tools/floorbuffer.jpg,Household,1,1
